contract_address,name,one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,thirty_day_volume,thirty_day_change,thirty_day_sales,thirty_day_average_price,total_volume,total_sales,total_supply,total_minted,num_owners,average_price,market_cap,floor_price,floor_price_historic_one_day,floor_price_historic_seven_day,floor_price_historic_thirty_day,updated_date
0xacf63e56fd08970b43401492a02f6f38b6635c91,Kanpai Pandas,13.38,0.544125284,3,4.46,93.80039,-0.122068312,32,2.931262188,505.8764479,-0.737556754,144,3.513030888,64991.63357,6302,10255,10255,5126,10.31285839,30060.09373,2.4497,2.4499,2.422,2.9,2023-05-02T21:29:40.698278
0xe785e82358879f061bc3dcac6f0444462d4b5330,World Of Women,27.63307,0.024372728,36,0.767585278,197.7609795,-0.250913004,223,0.886820536,2159.361907,-0.470704133,2269,0.951679994,64354.45578,43007,10020,10020,5593,1.496371655,8885.941769,0.7198,0.7368,0.6814,0.899,2023-05-02T21:29:42.353964
0x34eebee6942d8def3c125458d1a86e0a897fd6f9,Checks,7.9956809,0.813902201,23,0.3476383,75.52206519,-0.712469684,197,0.383360737,1007.436275,-0.643854845,2214,0.455029935,61768.47358,46491,9982,9982,4800,1.328611421,3826.706877,,,,0.47,2023-04-17T22:37:27.645993
0x067a1eb5e383ed24b66d72aaf80d8d7db3d299a8,Sandbox's ASSETs,0,0,0,0,12.27,-0.72352411,1,12.27,169.3300002,4.629321815,12,14.11083335,58397.35043,3960,3,3,269,14.74680566,36.81,18,18,17.469,17.49,2023-05-02T21:29:47.643443
0x77372a4cc66063575b05b44481f059be356964a4,a KID called BEAST,1.56,-0.782642603,3,0.52,32.22890913,0.229842453,30,1.074296971,172.6667624,-0.32408643,147,1.174603826,57407.9639,15874,98033,98033,7899,3.616477504,105316.555,0.52,0.53,0.53,0.68,2023-05-02T21:28:01.958998
0xc99c679c50033bbc5321eb88752e89a93e9e83c5,KILLABEARS,1.56,-0.782642603,3,0.52,32.22890913,0.229842453,30,1.074296971,172.6667624,-0.32408643,147,1.174603826,57407.9639,15874,98033,98033,7899,3.616477504,105316.555,0.52,0.53,0.53,0.68,2023-05-02T21:27:56.674782
0x1a92f7381b9f03921564a437210bb9396471050c,Cool Cats,2.377,0.711044431,9,0.264111111,33.492377,1.129095461,84,0.398718774,86.94129256,-0.223878111,296,0.293720583,57228.74189,14739,8192,8192,4173,3.882810359,3266.304195,0.289,0.298,0.3246,0.3,2023-05-02T21:29:46.265234
0xd57474e76c9ebecc01b65a1494f0a1211df7bcd8,,20.89029,0.052566636,9,2.321143333,176.976483,-0.511866315,82,2.158249793,1268.648368,0.636582973,649,1.954774065,57159.57256,25168,9999,9999,841,2.271120969,21580.33968,1.98889,1.7999,2.2,1.949,2023-05-02T21:29:47.941449
0xbd4455da5929d5639ee098abfaa3241e9ae111af,NFT Worlds,1.1407,0,4,0.285175,6.6677,1.811121885,20,0.333385,15.21609,-0.417131297,47,0.323746596,57073.85002,10426,1,1,2553,5.474184733,0.333385,0.369,0.3869,0.319,0.4298,2023-05-02T21:29:52.090659
0xb852c6b5892256c264cc2c888ea462189154d8d7,Rektguy,45.54880182,-0.008625626,98,0.464783692,211.2259888,-0.318231047,538,0.392613362,1659.272439,-0.792753952,2930,0.566304587,53532.0832,67684,6317,6317,2324,0.790911932,2480.138608,0.55,0.434,0.433,0.799,2023-05-02T21:29:53.213439
0xddcd88b77f37b3895e2d10cc4c77184e7a7c9d8e,Ghost Child,22.2333895,-0.649274687,19,1.170178395,189.3800744,-0.176747884,150,1.26253383,940.7362405,-0.373497835,617,1.524694069,53358.97825,10343,5000,5000,3827,5.158945978,6312.669148,1.246,1.189,1.4392,1.548,2023-05-02T21:29:53.509244
0x524cab2ec69124574082676e6f654a18df49a048,LilPudgys,66.44976187,-0.485367984,184,0.36114001,604.874765,-0.473877297,2193,0.275820686,4765.739433,-0.624464191,12727,0.37445898,53163.64854,135276,16000,16000,4739,0.393001335,4413.130981,0.24,0.253,0.2664,,2023-05-02T21:29:54.134575
