token_id,file_url,creator_address,last_sale_price,score,rank,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
230,ipfs://Qmc64i1kynJBWVQqLuWmtWGgMp67Vxdp8uyvi2eRwqLcnQ,0x284f42e9de6ebf202a90a5e68181999c2eedf18c,"{'asset_type': 'ETH', 'contract_address': None, 'price': 110.69, 'price_usd': 383463.7013595872}",0.8524339899049501,9068,,Blue,Dark Brown,Caveman Pelt,Bored Unshaven,Sleepy,Beanie
2300,ipfs://QmXqARqssHC8xFtg7jUg1PQ9GSLTjXytqB9J2m5iAcR1vq,0x1bb22b6e8e93840930bbbc7c1d00490678bde5ba,"{'asset_type': 'ETH', 'contract_address': None, 'price': 0.78, 'price_usd': 2422.152056101388}",0.9806750228817488,5185,,Orange,Gray,Leather Punk Jacket,Bored Unshaven,Robot,Army Hat
2301,ipfs://QmchTRhxjVYheYmH7uJiwssUNwBZ9XJRseWwu9LrsuYkv3,0x1bb22b6e8e93840930bbbc7c1d00490678bde5ba,"{'asset_type': 'ETH', 'contract_address': None, 'price': 8.3, 'price_usd': 21544.03149272661}",0.8302129181588715,9439,,Purple,Dark Brown,,Bored,Crazy,Bunny Ears
2302,ipfs://QmSaz4r7WxttUDprmwzmu6vzJDqrUGRFivzcbdHxxR8mwP,0x1bb22b6e8e93840930bbbc7c1d00490678bde5ba,"{'asset_type': 'ETH', 'contract_address': None, 'price': 20.0, 'price_usd': 62344.19981932023}",0.993105314417503,4753,,Purple,Pink,Hawaiian,Grin,3d,Sushi Chef Headband
2303,ipfs://QmfLC629zzYkEVADsFRxy5hszekRxthfZUXd4phQg1Y1Lm,0x9127c9221b22ea3789c90383284c72dcd7d9b9fb,"{'asset_type': 'ETH', 'contract_address': None, 'price': 0.44, 'price_usd': 1306.4266454275084}",0.9866227740381656,4964,,,,,,,
2304,ipfs://QmcPUYxxoRMkiuueRkki4gVGvoMtKyy8755tzh5nMEQECT,0xd9fa295d29f022d34028182329b051cbceb92579,"{'asset_type': 'ETH', 'contract_address': None, 'price': 93.0, 'price_usd': 222717.13846403276}",0.9534358989571846,6127,,Aquamarine,Brown,Prison Jumpsuit,Phoneme L,Sleepy,Cowboy Hat
2305,ipfs://QmRdKbNJP3bMvQiHfiE2LPfWgWkkWGCq28tfaAYdR65muT,0xd9fa295d29f022d34028182329b051cbceb92579,,0.968442003789544,5621,,Orange,Brown,Stunt Jacket,Dumbfounded,Sunglasses,Cowboy Hat
2306,ipfs://QmRJTHxXvLQxoEArZmtPmsyHwpiNgrHRXNERyaay2KtVzc,0xd9fa295d29f022d34028182329b051cbceb92579,"{'asset_type': 'ETH', 'contract_address': None, 'price': 69.0, 'price_usd': 176974.3553812839}",0.9006544633735856,7919,Silver Hoop,Orange,Black,Black Suit,Bored,Bored,
2307,ipfs://QmaZkm1mgr2WXn5Jvm4ayYGLHG9G43ioA2xwwcTm65hudN,0x5e6975dd6d81f76872f094e0c595927e58832332,"{'asset_type': 'ETH', 'contract_address': None, 'price': 0.26, 'price_usd': 736.3634063797184}",1.121921544649181,1603,,,,,,,
2308,ipfs://QmQgzumn59icSzfiYR4vcNKs8aDgFsnLusAWkqkxtJKfqX,0x5e6975dd6d81f76872f094e0c595927e58832332,"{'asset_type': 'ETH', 'contract_address': None, 'price': 0.45, 'price_usd': 1538.462106492574}",1.0882196347515207,2226,Diamond Stud,Purple,Dark Brown,Bayc T Black,Bored Cigarette,Bored,Fez
