,ETH,score,rank,collection_size,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
222,69.42,1.2046822410771478,0.06209313970956434,10000,5.0,2.0,9.0,28.0,19.0,10.0,9.0
225,10.0,1.2484481296879515,0.03164747120681022,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,43.0,0.9468131825295926,0.6358537806710065,10000,0.0,7.0,4.0,22.0,4.0,19.0,23.0
227,40.0,1.048093970709724,0.31096644967451176,10000,1.0,4.0,1.0,0.0,10.0,12.0,5.0
228,115.0,1.074657224898184,0.2501752628943415,10000,0.0,7.0,3.0,26.0,24.0,10.0,8.0
229,3.5,1.2092334457184293,0.058788182273410115,10000,6.0,7.0,8.0,41.0,28.0,7.0,9.0
230,3.0,1.0474843188059002,0.3126690035052579,10000,0.0,5.0,6.0,35.0,15.0,21.0,6.0
231,13.0,1.0743259039479192,0.25087631447170755,10000,5.0,2.0,16.0,0.0,21.0,17.0,23.0
232,0.25,0.9867002477994814,0.49534301452178264,10000,0.0,2.0,6.0,10.0,26.0,21.0,9.0
233,100.0,1.321921673628946,0.0073109664496745115,10000,4.0,8.0,7.0,9.0,20.0,8.0,20.0
234,54.69,0.9575467824838882,0.5979969954932399,10000,0.0,5.0,9.0,10.0,4.0,21.0,23.0
235,2.1,0.8837649409834616,0.8401602403605408,10000,0.0,3.0,9.0,3.0,10.0,6.0,22.0
237,0.69,0.9184660066526236,0.7334001001502254,10000,0.0,2.0,19.0,29.0,1.0,12.0,0.0
238,46.3,0.908714908744177,0.7651477215823737,10000,0.0,6.0,10.0,0.0,1.0,3.0,22.0
239,1.75,1.177873434205874,0.08873309964947422,10000,1.0,3.0,9.0,22.0,20.0,19.0,7.0
240,1.39,1.1736190722839657,0.09364046069103656,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,1.2,1.175742050092031,0.09153730595893841,10000,0.0,2.0,12.0,13.0,6.0,1.0,20.0
