,ETH,score,rank,collection_size,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
850,75.0,0.9929510544588672,4761,10000,Gold Hoop,New Punk Blue,Dmt,Striped Tee,Bored Unshaven Cigarette,Bored,
851,50.69,0.9721602794458172,5494,10000,,Aquamarine,Cheetah,Bayc T Red,Phoneme  ooo,Bored,Beanie
852,9.0,0.941671502748404,6559,10000,,Blue,Golden Brown,,Dumbfounded,Wide Eyed,Faux Hawk
853,114.99,1.2317676451692732,412,10000,Gold Hoop,Blue,Gray,Puffy Vest,Phoneme  ooo,Sad,Bowler
854,48.0,0.9508745035069728,6228,10000,,Blue,Dark Brown,Tanktop,Bored Cigarette,Zombie,Short Mohawk
855,1.15,1.033254699020058,3500,10000,Gold Stud,Purple,Pink,Space Suit,Phoneme Vuh,Bored,
856,70.0,1.1019104949746563,1945,10000,Silver Stud,Orange,Brown,Sailor Shirt,Bored Pipe,Bored,Short Mohawk
857,128.0,1.0121485757429003,4117,10000,,Army Green,Dark Brown,Blue Dress,Grin,Heart,Sushi Chef Headband
858,52.42,0.916159156508014,7416,10000,,Purple,Dark Brown,Navy Striped Tee,Grin,Closed,Safari
859,2.5,1.0672827806741991,2686,10000,,New Punk Blue,Dmt,Guayabera,Grin,Wide Eyed,Party Hat 1
860,0.4,0.998384097988016,4554,10000,,Blue,Brown,Wool Turtleneck,Jovial,Zombie,Army Hat
861,38.69,0.8329642001187098,9398,10000,,,,,,,
862,1.9445,1.081018801202547,2391,10000,Silver Hoop,Orange,Pink,Toga,Bored,Closed,S&m Hat
863,91.0,1.0888752163288662,2215,10000,,New Punk Blue,Golden Brown,Lab Coat,Bored Unshaven Kazoo,Closed,Short Mohawk
864,96.0,0.9010588141827862,7912,10000,,Gray,Tan,Black T,Bored,Crazy,Short Mohawk
867,85.0,1.2967376858630315,139,10000,Diamond Stud,Yellow,Dmt,Lumberjack Shirt,Phoneme  ooo,Sunglasses,Beanie
868,1.45,1.1232557563674148,1584,10000,,,,,,,
869,6.0,1.180533378740576,867,10000,Gold Stud,Aquamarine,Golden Brown,Navy Striped Tee,Dumbfounded,Heart,Vietnam Era Helmet
870,8.0,1.0464234457731114,3156,10000,,,,,,,
871,103.0,0.974573263185762,5394,10000,,Orange,White,Toga,Bored Unshaven,3d,Irish Boho
872,54.0,0.9185172869214618,7332,10000,,Aquamarine,Tan,Leather Jacket,Bored,Wide Eyed,Horns
873,114.0,0.8802836582246716,8463,10000,,Army Green,Brown,,Bored Unshaven Cigarette,Closed,
874,1.4,0.9141498071239518,7490,10000,,Aquamarine,Dark Brown,,Bored Unshaven Cigar,Bored,Irish Boho
875,50.9,1.0626923962744437,2786,10000,,,,,,,
876,20.0,0.9931835856859158,4748,10000,,Blue,Tan,,Bored Cigarette,Cyborg,
877,52.42069,0.8448950949754261,9208,10000,,Orange,Brown,Service,Bored,Sunglasses,
879,16.5,0.9277166167408608,7026,10000,,Army Green,Blue,Bayc T Black,Bored,Sad,Bowler
880,122.0,0.7654685487903333,9920,10000,,Aquamarine,Black,Hawaiian,Bored,Bored,Beanie
881,104.0,0.8485566812003525,9139,10000,,,,,,,
882,90.0,0.9706267996456004,5553,10000,,Army Green,Cheetah,Navy Striped Tee,Bored Unshaven,Sad,Prussian Helmet
883,72.5,0.998613072542366,4547,10000,,Orange,Tan,Black Holes T,Phoneme  ooo,X Eyes,
884,1.39,0.9711731080773665,5532,10000,,Purple,White,Vietnam Jacket,Rage,Bored,Cowboy Hat
885,55.0,0.945321911551242,6410,10000,,Gray,Blue,Tanktop,Dumbfounded,Bored,Bowler
886,49.8899,1.233889494575523,401,10000,Gold Hoop,Orange,Dark Brown,Lab Coat,Phoneme L,Sunglasses,S&m Hat
887,1.1,0.90368065554366,7823,10000,Silver Hoop,Army Green,Dark Brown,Tanktop,Bored Unshaven,Heart,
888,0.4651631550385768,0.9875930378019376,4923,10000,,Orange,Brown,Work Vest,Phoneme Vuh,Wide Eyed,Irish Boho
889,115.0,0.9585959267207804,5944,10000,,Yellow,Black,Prison Jumpsuit,Bored Unshaven Cigarette,Coins,Commie Hat
890,18.0,1.0267266814282996,3697,10000,,Purple,Robot,Vietnam Jacket,Bored Cigarette,Cyborg,
891,6.99,0.9747484314113928,5390,10000,,,,,,,
892,80.368,1.0872822038734768,2249,10000,Silver Hoop,Gray,Gray,Work Vest,Bored,Zombie,Beanie
893,34.99,0.858291591979751,8966,10000,,,,,,,
894,94.98,0.854381535112444,9030,10000,,Yellow,Tan,,Bored,Coins,
895,1.2,1.068113905963671,2665,10000,,Blue,Noise,Hawaiian,Bored Bubblegum,Crazy,
896,105.0,0.8240820288098664,9532,10000,,New Punk Blue,Golden Brown,Sailor Shirt,Bored,Coins,
897,53.0,0.9754901013668148,5369,10000,,Orange,Cheetah,Guayabera,Dumbfounded,3d,Beanie
898,85.0,0.8714752200322984,8680,10000,,,,,,,
899,50.0,0.9110651070902708,7579,10000,,Orange,Dark Brown,Lumberjack Shirt,Bored Cigarette,Heart,Beanie
900,2.0,0.9099064103087584,7612,10000,,Orange,Golden Brown,,Dumbfounded,Scumbag,Beanie
902,86.0,1.002128666387627,4433,10000,Silver Stud,Aquamarine,Dmt,Leather Punk Jacket,Bored,Crazy,
903,53.85,1.0481031434288517,3114,10000,,,,,,,
904,63.0,0.8658027523604149,8804,10000,,Orange,Cream,,Dumbfounded,Bored,
905,59.9,0.9540848923390872,6107,10000,,Yellow,Blue,Tanktop,Bored,Heart,Bunny Ears
906,71.25,0.8942184437112585,8090,10000,Gold Stud,New Punk Blue,Tan,Sailor Shirt,Bored Unshaven,Bored,
907,2.65,0.9021129977097112,7877,10000,,Army Green,Tan,Lab Coat,Bored,Coins,Beanie
908,1.3,0.9681008466677922,5630,10000,,Gray,Cream,Bayc T Red,Bored Cigarette,Sleepy,Cowboy Hat
909,85.0,0.8552439635935113,9010,10000,,Orange,Black,,Bored Cigarette,Wide Eyed,Short Mohawk
910,0.4,0.9960906458883766,4642,10000,,Aquamarine,Gray,Tuxedo Tee,Bored Cigarette,Coins,Bayc Hat Black
911,123.0,0.9932893110724822,4744,10000,,Purple,Tan,Bayc T Black,Discomfort,Bored,Bunny Ears
912,130.0,0.9072270197499822,7699,10000,,Gray,Golden Brown,Tanktop,Dumbfounded,Wide Eyed,
913,6.3,0.8341084160085205,9373,10000,,,,,,,
915,0.089,0.9810783957885212,5171,10000,Silver Stud,Purple,Brown,Tuxedo Tee,Bored,Bored,Bayc Hat Black
916,5.5,0.9316186484980928,6904,10000,,Aquamarine,Dark Brown,,Discomfort,Sad,
917,140.0,1.0743827573520224,2513,10000,,,,,,,
918,1.91,0.8474058362952239,9162,10000,,Blue,Brown,,Grin,Closed,Bowler
919,40.0,0.9475889672516004,6337,10000,,Aquamarine,Golden Brown,Wool Turtleneck,Rage,Angry,
920,2.0,0.8984461841186129,7980,10000,,Blue,Tan,Navy Striped Tee,Bored Cigarette,Closed,Beanie
921,100.0,0.9440438064299472,6457,10000,,Aquamarine,Cream,Bone Necklace,Phoneme Oh,Sleepy,
923,10.5,1.0831730531591548,2334,10000,,Purple,Gray,Sleeveless Logo T,Bored Party Horn,X Eyes,
924,3.19,0.8854585819597929,8349,10000,Gold Stud,Yellow,Brown,Bone Tee,Bored,Sleepy,
925,79.4,0.9125198748378174,7537,10000,,Gray,Black,Vietnam Jacket,Bored,Robot,Irish Boho
926,1.5,1.097512473715356,2042,10000,,Purple,Death Bot,Stunt Jacket,Dumbfounded,Sunglasses,Irish Boho
927,23.0,1.0074729712042718,4255,10000,,Aquamarine,Dmt,Bone Tee,Grin,Bored,Party Hat 1
928,150.0,1.0250123248999372,3750,10000,,Purple,White,Smoking Jacket,Bored Cigarette,Sunglasses,Bayc Flipped Brim
929,5.8,0.9755929274404148,5365,10000,,Purple,Cream,Service,Phoneme Vuh,Crazy,
930,100.0,1.098695909401727,2010,10000,Silver Stud,Army Green,Noise,,Bored Bubblegum,Bored,Spinner Hat
931,15.0,1.0739228214629222,2518,10000,Silver Stud,Yellow,Brown,Tanktop,Small Grin,Bored,Short Mohawk
932,569.0,1.0684670080859613,2656,10000,,Orange,Solid Gold,Wool Turtleneck,Bored Unshaven,Crazy,Short Mohawk
933,44.5,1.257695478926682,273,10000,Silver Stud,Blue,Dark Brown,Puffy Vest,Bored Kazoo,Blindfold,S&m Hat
934,80.0,0.9864725927196378,4974,10000,,Blue,Pink,Work Vest,Discomfort,Bored,Halo
